contributor,numberOfPackagesAffected
Mattias Ellert,51
Debian Security Tools,27
Debian QA Group,23
Debian Perl Group,14
Debian VoIP Team,13
Debian MySQL Maintainers,13
Debian OpenStack,12
Debian HPC Team,12
Laszlo Boszormenyi (GCS),10
Debian Cyrus Team,10
Debian Med Packaging Team,9
Sam Hartman,9
Debian Authentication Maintainers,8
Debian Rust Maintainers,8
Ceph Packaging Team,8
Debian Science Maintainers,7
Debian Games Team,7
Andrej Shadura,7
Marco d'Itri,7
Debian PHP Maintainers,7
Debian Haskell Group,7
Debian DNS Team,6
Dmitry Smirnov,6
Debian Systemd Maintainers,6
Debian Multimedia Maintainers,6
Debian PostgreSQL Maintainers,6
Debian Nagios Maintainer Group,6
Debian OpenSC Maintainers,6
Debian Remote Maintainers,5
Pierre Chifflier,5
Chris Boot,5
Sandro Tosi,5
Christian Marillat,5
Debian OCaml Maintainers,5
Philipp Kern,5
Debian FreeIPA Team,5
Debian Edu Packaging Team,4
Patrick Matthäi,4
Debian Ruby Team,4
Stefan Hornburg (Racke),4
Debian Qt/KDE Maintainers,4
pdns packagers,4
Debian OpenSSH Maintainers,4
Ondřej Surý,4
Mattia Rizzolo,4
Daniel Baumann,4
Dennis van Dok,4
Alastair McKinstry,4
Debian wpasupplicant Maintainers,3
Debian Shib Team,3
Magnus Holmgren,3
unbound packagers,3
Boris Pek,3
Richard Laager,3
Andrea Pappacoda,3
Debian R Packages Maintainers,3
Ying-Chun Liu (PaulLiu),3
syslog-ng maintainers,3
Debian SOGo Maintainers,3
Bastian Germann,3
Debian Python Team,3
Debian EFI Team,3
Peter Pentchev,3
Chris Lamb,3
Dima Kogan,3
Seunghun Han,3
PCP Development Team,3
Ryan Kavanagh,3
David Bürgin,3
Debian iSCSI Maintainers,3
Debian XMPP Maintainers,3
Kan-Ru Chen (陳侃如),3
Vincent Bernat,3
Axel Beckert,3
Tomasz Buchert,3
Debian IoT Maintainers,3
Debian Go Packaging Team,3
Gilles Filippini,3
gtkpod Maintainers,3
Debian KDE Extras Team,3
Apollon Oikonomopoulos,3
Debian FreeRADIUS Packaging Team,3
getdns packagers,3
Debian Apache Maintainers,3
Debian DPDK Maintainers,3
